,DSW,DSW_CI,ISW,ISW_CI,LSSW,LSSW_CI,mCDW,mCDW_CI,CDW,CDW_CI,zlowest,month,region,stress_curl_slope_MonMean,u10MonMean,v10MonMean,u10SlopeMonMean,v10SlopeMonMean,neg_u10SlopeMonMean,neg_stress_curl,ShelfWidth
43,110.90260632807876,[101.53061884 104.18994734],71.82248036201531,[58.13345168 58.21949108],26.215710837665423,[17.19887919 18.20392269],140.23088726575918,[105.01270704 113.86491473],67.25422172754847,[42.20808056 44.20403056],92587.69072472096,8,WS-DIS,-1.5143656091492603e-07,-1.5109878472222222,0.6888586697048611,-0.19130879454404967,0.9474655237895674,0.19130879454404967,1.5143656091492603e-07,209.3633760264864
44,204.17463987200904,[193.80973061 194.19477738],259.7665329119495,[246.92105236 247.86199015],22.48128011341634,[19.25186489 19.25725372],59.708196155869075,[53.03650928 53.75406099],4.0672947684313305,[1.22317084 1.26951021],79854.916838797,9,WS-DIS,-2.45484272718058e-07,-2.5849592013888887,-0.19791944715711807,-1.326537473643543,0.058911266781778354,1.326537473643543,2.45484272718058e-07,209.3633760264864
45,63.997129296267616,[38.17298146 40.51561883],252.32749101461715,[216.0979888  217.08196957],54.74027192762044,[30.25051954 30.25866239],77.90352639655211,[43.47952579 45.11420437],0.0,[0. 0.],5260.558570722882,10,WS-DIS,-2.2610409845218558e-07,-2.412718967013889,-0.3742148166232639,-1.1803318826368243,-0.02727120195880862,1.1803318826368243,2.2610409845218558e-07,209.3633760264864
46,,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,11,WS-DIS,-1.4319527638951925e-07,-2.9124839409722223,-0.5489234483506944,-2.0900625515669815,-0.1352203787594785,2.0900625515669815,1.4319527638951925e-07,209.3633760264864
47,,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,12,WS-DIS,-6.436598676677984e-08,-2.113426215277778,-0.016775919596354168,-1.5764860089775659,0.2572422193201016,1.5764860089775659,6.436598676677984e-08,209.3633760264864
48,0.0,[0. 0.],0.0,[0. 0.],34.01736589762991,[23.18674068 23.76408522],112.33992239184543,[84.50399111 85.83902052],304.1012714266317,[250.7649628  264.45259673],10698.350469892428,1,CD-DIS,-2.4641870849711054e-07,-4.444188391644022,3.0792140794836955,-4.031412625569594,2.17621957040959,4.031412625569594,2.4641870849711054e-07,110.35831033764634
49,0.6747177547640351,[0. 0.],0.0,[0. 0.],19.212064425195006,[13.59300979 15.27334746],222.185171975826,[177.06956993 181.63732878],117.5499841954068,[91.24937466 93.00728771],43013.25686620723,2,CD-DIS,-2.125269000734069e-07,-4.000436976336051,4.263261435688406,-3.8901654411764706,3.1177249330079744,3.8901654411764706,2.125269000734069e-07,110.35831033764634
50,0.9171791788172046,[0. 0.],6.418542343128277,[2.56555599 2.76757577],26.844905832098412,[20.8651899 21.5415097],340.719270986403,[305.73617562 306.9514311 ],151.56763538154075,[117.76964896 121.26934625],49536.847447917215,3,CD-DIS,1.4068017630392645e-07,-4.3878867329030795,5.518033854166666,-4.9317191059962715,4.356971216083264,4.9317191059962715,-1.4068017630392645e-07,110.35831033764634
51,11.474491245500467,[4.70569296 5.35256219],14.719225206272545,[12.03096276 12.09938021],66.51762236459788,[60.68954505 61.13259506],348.14727163958236,[291.11639776 313.0132954 ],311.92815955626554,[274.5856403  277.57101315],67686.29386152471,4,CD-DIS,3.2859666515280616e-07,-4.567654551630435,6.105591174139493,-5.2175428490058,4.889775463442419,5.2175428490058,-3.2859666515280616e-07,110.35831033764634
52,0.0,[0. 0.],8.48385975015184,[6.17304831 6.47381183],11.548081255527544,[7.7740985 7.8564821],302.98205452049626,[253.70684338 255.2702138 ],398.13490502294815,[351.26477087 357.91188297],46997.333353609196,5,CD-DIS,1.3686957585454827e-07,-5.0949661033740945,6.430138983242753,-5.628004123084093,5.102867145427713,5.628004123084093,-1.3686957585454827e-07,110.35831033764634
